Sl.No.,State,No_of_Projects,Total_Amount_Sanctioned_Lakhs
1,Andaman & Nicobar Islands,0,0.0
2,Andhra Pradesh,127,12360.24
3,Arunachal Pradesh,0,0.0
4,Assam,23,3551.8
5,Bihar,102,3661.85
6,Chandigarh,4,77.03
7,Chhattisgarh,22,1778.97
8,Dadra & Nagar Haveli,0,0.0
9,Daman & Diu,0,0.0
10,Delhi,46,1916.55
11,Goa,1,5.46
12,Gujarat,150,4948.01
13,Haryana,71,8601.87
14,Himachal Pradesh,243,4942.8
15,Jammu & Kashmir,80,4799.25
16,Jharkhand,32,1551.96
17,Karnataka,102,8901.08
18,Kerala,10,202.47
19,Ladakh,0,0.0
20,Lakshadweep,0,0.0
21,Madhya Pradesh,76,8525.09
22,Maharashtra,200,11698.64
23,Manipur,0,0.0
24,Meghalaya,1,198.13
25,Mizoram,0,0.0
26,Nagaland,0,0.0
27,Odisha,16,805.83
28,Pondicherry,0,0.0
29,Punjab,249,14822.75
30,Rajasthan,76,5173.31
31,Sikkim,0,0.0
32,Tamil Nadu,56,2301.3
33,Telangana,48,5016.41
34,Tripura,4,220.0
35,Uttar Pradesh,1178,59775.34
36,Uttarakhand,14,734.18
37,West Bengal,52,1322.39
Total,,2983,167892.71
